trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.997112}",20,0,-80.71228317425171,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9970355}",20,4,-81.16571947839064,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.996958}",20,12,-59.67883813922749,"{0: 4, 1: 2, 2: 0, 3: 1, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.9968795}",20,0,-29.90867606646064,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9968}",20,0,-82.3788081164098,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9967195}",35,0,-135.6314762427184,"{0: 27, 1: 1, 2: 4, 3: 0, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.996638}",25,0,-46.029310432958006,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.9965555}",25,0,-111.85182368898985,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.996472}",30,0,-151.78890198325968,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9963875}",30,12,-92.74120379818204,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.996302}",20,8,-136.1941273911895,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.9962155}",25,0,-66.5807472204322,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.996128}",20,0,-173.02630906944626,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.9960395}",20,0,-45.20754138500184,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.99595}",35,0,-93.00670007339241,"{0: 23, 1: 7, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9958595}",25,0,-60.307393491772665,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.995768}",35,0,-293.6318809967118,"{0: 18, 1: 1, 2: 9, 3: 3, 4: 4}",0
94,False,"{'a': 0.5, 'e': 0.9956755}",25,0,-140.6374685051791,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.995582}",30,0,-250.51177557639008,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
96,False,"{'a': 0.5, 'e': 0.9954875}",30,0,-175.0868945348896,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.995392}",30,0,-70.53468856883079,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9952955}",25,0,-90.38565277302665,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.995198}",20,0,-33.61286413496301,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9950995}",30,0,-182.84933007843395,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.995}",20,0,-95.68487627801483,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9948995}",25,0,-172.40982146249476,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.994798}",20,13,-0.027781497243939413,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.9946955}",20,5,-13.523212993475482,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.994592}",25,0,-93.96944468683309,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9944875}",20,0,-47.221551224839494,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.994382}",30,0,-70.96729832232151,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
